CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
00000139,101,,0,R,2,46,U,F,,0,N,0,,655,219,77,12671,0,46,24,53,0,0,A,1,0.071,21,0,0,1,0,26,11,25,103,7,14.71,16,21,5,21,4,10,26,90,14.71,2
00000142,137,,0,R,2,43,U,F,,1,N,0,1,475,227,70,10221,0,30,33,29,1,1,S,2,0.35,10,0.5,10,7,5,22,44,110,186,31,6,9,11,2,10,9,22,22,129,6,14
00000282,17,30,0,T,1,35,H,M,6,1,B,11,,1117,544,87,18212,1,27,70,21,0,0,F,1,0.077,20,0.2,20,1,1,20,13,39,76,9,8.44,15,20,5,20,5,14,20,87,8.44,1
00000368,137,75,0,U,1,02,H,M,6,1,B,1,7,2257,485,84,17885,0,43,28,41,1,10,A,1,0.333,8.83,0.444,8.75,6,4,19,42,114,247,38,6.5,5,10,5,10,10,24,19,129,6.5,22
00000387,5,,0,T,2,40,U,F,2,0,B,0,,789,413,97,14123,0,31,16,7,0,0,A,3,0.278,5.4,0.222,6,5,2,20,15,43,70,12,5.83,7,10,3,5,5,12,18,85,5.83,2
00000458,125,80,0,T,2,37,U,F,,0,N,0,4,1688,325,70,16023,0,33,28,39,1,1,S,2,0.136,15,0.273,15,3,3,25,25,60,145,15,9.67,10,15,5,15,7,14,25,124,9.67,8
00000564,89,59,0,C,1,24,H,F,7,1,B,18,,2573,582,82,19730,0,30,54,8,1,0,A,1,0.25,30,0.444,30,4,4,16,25,56,210,10,21,45,50,5,18,11,24,16,79,21,7
00000665,41,53,0,T,2,40,H,F,3,1,B,4,5,742,369,89,13642,1,35,32,11,0,0,A,2,0.143,18.33,0,0,3,0,16,29,75,164,12,13.67,10,20,10,15,11,27,16,73,13.67,1
00000702,101,75,0,T,1,35,H,F,7,1,B,6,9,1125,550,90,28012,0,40,18,63,1,0,A,2,0.286,9.83,0.3,10,6,3,13,38,103,175,22,7.95,7,11,4,10,10,26,13,92,7.95,7
00000743,113,60,0,R,2,46,H,M,5,1,M,15,9,768,304,70,12793,0,28,48,8,1,0,A,2,0.524,10.45,0.4,11.25,11,4,15,39,107,360,37,9.73,10,15,5,10,11,27,11,113,9.73,10
00000788,65,49,0,T,2,40,H,F,6,1,B,14,,864,404,86,13208,0,30,36,45,0,0,A,1,0.063,40,0.125,40,1,1,21,20,51,140,5,28,15,40,25,40,7,18,21,64,28,3
00000790,77,71,0,R,2,46,U,M,5,0,P,0,4,580,286,78,12400,0,29,34,29,1,0,A,1,0.053,15,0,0,1,0,18,24,67,92,11,8.36,12,15,3,15,5,16,18,68,8.36,4
